plant_id,plant_type,country,capacity_mw,generation_mwh,co2_emissions_tons,energy_price_eur_mwh,date
202,Hydro,Italy,456.2,1184.53,501.36,110.29,2023-07-20
448,Hydro,Germany,181.97,1667.37,1624.55,50.48,2024-08-16
370,Coal,Netherlands,6.34,2656.56,1599.52,147.94,2023-12-08
206,Wind,France,103.9,4332.21,1467.4,154.12,2024-08-10
171,Gas,Italy,484.93,1065.9,1692.48,115.5,2023-10-30
288,Hydro,Germany,158.33,2647.54,310.23,127.71,2023-10-21
120,Gas,Germany,308.79,4385.09,891.88,66.94,2023-11-24
202,Coal,Netherlands,364.69,606.89,1631.47,72.1,2024-08-01
221,Gas,Italy,325.06,3621.1,1911.87,50.77,2024-11-13
314,Gas,Germany,191.9,1157.46,1611.49,115.67,2024-01-01
430,Hydro,Italy,218.06,909.36,1787.07,84.65,2024-09-27
187,Coal,Netherlands,419.8,1219.93,38.95,64.27,2024-07-20
472,Gas,Spain,333.08,2539.19,1515.79,29.15,2023-06-30
199,Hydro,Germany,16.6,3036.81,281.77,117.9,2024-01-04
459,Gas,France,105.71,1011.54,1487.16,33.86,2024-09-07
251,Hydro,Italy,146.72,604.22,143.49,150.39,2023-02-03
230,Coal,Netherlands,185.92,2290.69,590.14,127.07,2024-09-27
249,Wind,Netherlands,290.56,334.12,1365.6,86.09,2023-12-02
408,Hydro,France,186.42,2717.73,387.3,138.34,2024-11-03
357,Hydro,Spain,413.38,3430.21,1569.36,127.75,2024-02-19
443,Gas,Italy,239.55,4731.66,177.78,111.65,2023-12-18
393,Coal,Spain,253.58,757.56,1656.93,188.2,2023-07-16
485,Solar,Netherlands,216.56,2194.89,1140.0,193.38,2024-04-30
291,Solar,Germany,158.68,1320.69,37.12,163.08,2024-11-17
376,Wind,Spain,363.78,1128.62,507.59,174.49,2023-07-08
260,Coal,Germany,118.63,2621.65,964.9,93.76,2024-07-25
413,Hydro,France,346.3,760.03,1285.37,193.03,2024-12-17
121,Solar,Netherlands,267.2,126.31,1347.61,98.51,2024-12-13
352,Wind,Germany,55.62,852.57,1789.99,170.5,2023-12-12
335,Coal,Italy,13.89,1710.8,876.3,188.93,2024-03-27
444,Wind,Netherlands,88.87,104.32,25.13,153.65,2023-05-26
148,Solar,France,381.71,4292.81,533.66,44.64,2024-07-21
158,Gas,Italy,195.38,2938.68,186.03,175.79,2024-01-29
269,Gas,Netherlands,403.41,184.43,1676.59,41.01,2023-05-05
287,Coal,Spain,253.44,1181.64,299.97,184.03,2024-07-04
370,Wind,Netherlands,21.21,3338.42,716.55,193.95,2023-02-21
289,Hydro,Italy,423.82,198.2,290.65,150.73,2023-05-11
274,Solar,Germany,468.45,1915.98,1033.02,173.14,2023-11-27
150,Gas,Germany,41.74,528.49,391.27,33.11,2023-04-24
463,Gas,Netherlands,108.13,1988.42,1527.71,68.56,2024-08-18
154,Wind,Netherlands,359.2,4841.71,982.01,139.5,2023-06-28
343,Gas,France,498.6,2302.29,992.07,175.2,2023-07-10
419,Wind,Spain,438.77,3087.81,1902.45,181.93,2024-08-07
230,Solar,France,53.98,2071.79,642.47,106.01,2023-07-27
406,Wind,France,305.58,1609.36,761.46,75.39,2023-12-22
234,Gas,Germany,334.28,3072.57,1183.92,85.97,2023-01-06
120,Wind,Germany,317.26,3122.62,682.41,94.44,2024-02-27
428,Gas,Italy,286.19,3095.9,1657.91,125.53,2024-07-18
266,Coal,France,149.64,182.75,1093.26,148.89,2023-12-18
373,Gas,Italy,335.91,3497.83,5.32,27.32,2023-03-05
487,Gas,Netherlands,365.58,3395.39,644.17,142.73,2023-08-09
188,Gas,Italy,290.0,397.16,998.18,149.58,2023-04-22
415,Coal,Germany,251.09,991.32,1561.05,142.28,2023-04-15
113,Hydro,France,113.42,2625.74,1481.26,169.47,2024-11-09
341,Gas,Germany,274.64,1835.85,1340.32,198.71,2023-12-21
364,Hydro,Netherlands,68.48,2901.28,1667.89,84.57,2023-08-11
445,Solar,Spain,40.99,3814.04,428.42,48.66,2023-04-22
152,Wind,France,390.04,2762.91,919.36,170.97,2024-08-24
485,Hydro,Germany,339.75,2321.94,1081.38,27.9,2024-01-02
439,Solar,Spain,326.27,1355.05,1947.1,52.48,2023-11-28
191,Wind,Netherlands,464.42,3096.68,1952.6,193.62,2024-09-02
466,Gas,Spain,193.48,4144.74,994.7,181.71,2023-06-16
363,Gas,Germany,202.87,1348.88,284.19,87.8,2024-10-28
134,Gas,Germany,209.8,3951.3,1775.05,172.15,2024-09-16
305,Coal,Netherlands,235.32,2117.16,53.45,50.47,2024-04-13
180,Coal,Netherlands,258.86,603.71,903.83,182.4,2023-07-04
149,Coal,Spain,390.12,4557.64,996.5,96.37,2023-12-14
459,Coal,Spain,112.76,3424.09,293.97,67.35,2023-08-12
487,Solar,Germany,219.87,4212.99,743.05,171.23,2023-05-05
101,Solar,Netherlands,255.04,3291.79,1343.34,64.37,2023-01-12
489,Gas,Italy,88.71,661.5,1397.07,71.05,2024-08-02
153,Wind,Netherlands,352.46,2731.02,1557.45,117.41,2023-10-22
205,Coal,France,32.85,3186.46,1146.71,114.66,2024-03-27
359,Wind,France,295.03,1343.02,587.24,83.43,2024-10-14
409,Solar,Netherlands,105.06,3172.95,24.58,127.37,2023-06-25
290,Coal,Spain,9.19,2855.61,1211.94,58.8,2023-04-25
